touchpoint_id,customer_id,touchpoint_date,type,market
TP000001,CUST00001,2025-09-16,Événement VIC,Chine
TP000002,CUST00001,2025-09-20,Événement VIC,Chine
TP000003,CUST00001,2025-09-11,Événement VIC,Chine
TP000004,CUST00001,2026-01-30,Appel conseiller de vente,Chine
TP000005,CUST00004,2026-03-13,Ouverture newsletter,France (siège)
TP000006,CUST00004,2026-03-10,Événement VIC,France (siège)
TP000007,CUST00004,2026-03-11,Appel conseiller de vente,France (siège)
TP000008,CUST00005,2025-07-03,Événement VIC,Japon
TP000009,CUST00005,2026-01-01,Visite site e-commerce,Japon
TP000010,CUST00005,2026-01-01,Événement VIC,Japon
TP000011,CUST00005,2026-01-10,Rendez-vous boutique,Japon
TP000012,CUST00005,2026-06-20,Rendez-vous boutique,Japon
TP000013,CUST00005,2026-06-14,Rendez-vous boutique,Japon
TP000014,CUST00006,2025-05-09,Appel conseiller de vente,Japon
TP000015,CUST00006,2025-05-07,Événement VIC,Japon
TP000016,CUST00006,2025-09-30,Appel conseiller de vente,Japon
TP000017,CUST00006,2025-09-13,Rendez-vous boutique,Japon
TP000018,CUST00006,2025-09-23,Visite site e-commerce,Japon
TP000019,CUST00006,2026-03-27,Rendez-vous boutique,Japon
TP000020,CUST00006,2026-03-24,Événement VIC,Japon
TP000021,CUST00007,2025-04-23,Visite site e-commerce,Chine
TP000022,CUST00007,2025-05-10,Événement VIC,Chine
TP000023,CUST00007,2025-09-29,Rendez-vous boutique,Chine
TP000024,CUST00007,2025-09-12,Appel conseiller de vente,Chine
TP000025,CUST00007,2026-05-24,Appel conseiller de vente,Chine
TP000026,CUST00007,2026-05-14,Événement VIC,Chine
TP000027,CUST00008,2026-05-24,Appel conseiller de vente,France (siège)
TP000028,CUST00008,2026-05-19,Rendez-vous boutique,France (siège)
TP000029,CUST00008,2026-06-01,Événement VIC,France (siège)
TP000030,CUST00009,2025-05-26,Ouverture newsletter,Chine
TP000031,CUST00009,2025-06-14,Visite site e-commerce,Chine
TP000032,CUST00009,2025-05-29,Visite site e-commerce,Chine
TP000033,CUST00010,2025-08-12,Ouverture newsletter,Japon
TP000034,CUST00010,2025-08-13,Appel conseiller de vente,Japon
TP000035,CUST00010,2025-08-23,Ouverture newsletter,Japon
TP000036,CUST00010,2026-03-04,Rendez-vous boutique,Japon
TP000037,CUST00010,2026-03-17,Rendez-vous boutique,Japon
TP000038,CUST00010,2026-02-26,Appel conseiller de vente,Japon
TP000039,CUST00011,2025-05-09,Visite site e-commerce,Chine
TP000040,CUST00011,2025-11-18,Rendez-vous boutique,Chine
TP000041,CUST00011,2026-05-24,Rendez-vous boutique,Chine
TP000042,CUST00012,2025-12-19,Événement VIC,Chine
TP000043,CUST00012,2025-12-14,Appel conseiller de vente,Chine
TP000044,CUST00012,2026-01-04,Événement VIC,Chine
TP000045,CUST00012,2026-05-27,Visite site e-commerce,Chine
TP000046,CUST00012,2026-05-29,Visite site e-commerce,Chine
TP000047,CUST00012,2026-05-11,Visite site e-commerce,Chine
TP000048,CUST00013,2025-08-23,Rendez-vous boutique,France (siège)
TP000049,CUST00014,2026-03-15,Appel conseiller de vente,Japon
TP000050,CUST00014,2026-03-06,Rendez-vous boutique,Japon
TP000051,CUST00014,2026-03-14,Visite site e-commerce,Japon
TP000052,CUST00015,2025-10-03,Visite site e-commerce,Chine
TP000053,CUST00015,2025-09-29,Événement VIC,Chine
TP000054,CUST00015,2025-09-28,Appel conseiller de vente,Chine
TP000055,CUST00015,2026-02-14,Appel conseiller de vente,Chine
TP000056,CUST00015,2026-02-18,Événement VIC,Chine
TP000057,CUST00015,2026-07-18,Visite site e-commerce,Chine
TP000058,CUST00015,2026-07-23,Événement VIC,Chine
TP000059,CUST00016,2026-07-04,Ouverture newsletter,Japon
TP000060,CUST00016,2026-06-21,Ouverture newsletter,Japon
TP000061,CUST00016,2026-07-07,Événement VIC,Japon
TP000062,CUST00017,2025-03-27,Événement VIC,France (siège)
TP000063,CUST00017,2025-03-24,Événement VIC,France (siège)
TP000064,CUST00017,2025-04-04,Événement VIC,France (siège)
TP000065,CUST00017,2025-08-23,Visite site e-commerce,France (siège)
TP000066,CUST00017,2025-11-04,Ouverture newsletter,France (siège)
TP000067,CUST00017,2026-03-30,Appel conseiller de vente,France (siège)
TP000068,CUST00017,2026-03-26,Visite site e-commerce,France (siège)
TP000069,CUST00018,2025-04-23,Visite site e-commerce,USA
TP000070,CUST00018,2025-05-08,Ouverture newsletter,USA
TP000071,CUST00018,2025-04-20,Rendez-vous boutique,USA
TP000072,CUST00018,2025-11-14,Visite site e-commerce,USA
TP000073,CUST00018,2025-11-18,Appel conseiller de vente,USA
TP000074,CUST00018,2026-05-08,Visite site e-commerce,USA
TP000075,CUST00018,2026-05-24,Appel conseiller de vente,USA
TP000076,CUST00020,2026-05-24,Ouverture newsletter,France (siège)
TP000077,CUST00021,2026-05-29,Appel conseiller de vente,Chine
TP000078,CUST00021,2026-05-31,Ouverture newsletter,Chine
TP000079,CUST00021,2026-06-11,Visite site e-commerce,Chine
TP000080,CUST00022,2026-02-03,Événement VIC,France (siège)
TP000081,CUST00022,2026-01-23,Appel conseiller de vente,France (siège)
TP000082,CUST00022,2026-02-12,Événement VIC,France (siège)
TP000083,CUST00022,2026-06-18,Événement VIC,France (siège)
TP000084,CUST00023,2025-03-30,Visite site e-commerce,Japon
TP000085,CUST00023,2025-03-23,Appel conseiller de vente,Japon
TP000086,CUST00023,2025-10-13,Ouverture newsletter,Japon
TP000087,CUST00023,2025-10-14,Ouverture newsletter,Japon
TP000088,CUST00023,2026-03-23,Visite site e-commerce,Japon
TP000089,CUST00023,2026-03-26,Visite site e-commerce,Japon
TP000090,CUST00024,2026-05-09,Appel conseiller de vente,Moyen-Orient
TP000091,CUST00024,2026-05-07,Rendez-vous boutique,Moyen-Orient
TP000092,CUST00025,2026-01-22,Rendez-vous boutique,USA
TP000093,CUST00025,2026-01-22,Ouverture newsletter,USA
TP000094,CUST00025,2026-01-14,Visite site e-commerce,USA
TP000095,CUST00025,2026-05-19,Visite site e-commerce,USA
TP000096,CUST00025,2026-06-01,Visite site e-commerce,USA
TP000097,CUST00027,2025-04-28,Visite site e-commerce,Japon
TP000098,CUST00027,2025-04-22,Événement VIC,Japon
TP000099,CUST00027,2025-04-23,Événement VIC,Japon
TP000100,CUST00027,2025-10-03,Visite site e-commerce,Japon
TP000101,CUST00027,2025-09-18,Événement VIC,Japon
TP000102,CUST00027,2025-09-23,Ouverture newsletter,Japon
TP000103,CUST00028,2025-11-18,Rendez-vous boutique,Moyen-Orient
TP000104,CUST00028,2025-11-22,Appel conseiller de vente,Moyen-Orient
TP000105,CUST00029,2026-03-13,Ouverture newsletter,France (siège)
TP000106,CUST00029,2026-03-05,Visite site e-commerce,France (siège)
TP000107,CUST00029,2026-06-25,Visite site e-commerce,France (siège)
TP000108,CUST00029,2026-06-18,Ouverture newsletter,France (siège)
TP000109,CUST00030,2025-02-22,Visite site e-commerce,Moyen-Orient
TP000110,CUST00030,2025-07-17,Événement VIC,Moyen-Orient
TP000111,CUST00030,2025-11-18,Ouverture newsletter,Moyen-Orient
TP000112,CUST00030,2025-11-15,Ouverture newsletter,Moyen-Orient
TP000113,CUST00030,2025-10-30,Visite site e-commerce,Moyen-Orient
TP000114,CUST00030,2026-02-22,Événement VIC,Moyen-Orient
TP000115,CUST00030,2026-06-21,Ouverture newsletter,Moyen-Orient
TP000116,CUST00031,2025-09-06,Événement VIC,Moyen-Orient
TP000117,CUST00031,2025-09-10,Ouverture newsletter,Moyen-Orient
TP000118,CUST00031,2026-02-10,Événement VIC,Moyen-Orient
TP000119,CUST00031,2026-07-12,Appel conseiller de vente,Moyen-Orient
TP000120,CUST00032,2026-07-08,Événement VIC,USA
TP000121,CUST00032,2026-07-25,Ouverture newsletter,USA
TP000122,CUST00033,2025-08-12,Appel conseiller de vente,Chine
TP000123,CUST00033,2025-08-16,Ouverture newsletter,Chine
TP000124,CUST00033,2026-01-03,Visite site e-commerce,Chine
TP000125,CUST00033,2026-01-15,Événement VIC,Chine
TP000126,CUST00033,2026-01-19,Événement VIC,Chine
TP000127,CUST00033,2026-06-27,Visite site e-commerce,Chine
TP000128,CUST00033,2026-07-07,Appel conseiller de vente,Chine
TP000129,CUST00034,2026-01-05,Rendez-vous boutique,France (siège)
TP000130,CUST00034,2026-01-03,Événement VIC,France (siège)
TP000131,CUST00034,2026-04-23,Appel conseiller de vente,France (siège)
TP000132,CUST00034,2026-04-25,Événement VIC,France (siège)
TP000133,CUST00035,2026-04-09,Rendez-vous boutique,Chine
TP000134,CUST00036,2025-03-19,Appel conseiller de vente,France (siège)
TP000135,CUST00036,2025-03-04,Appel conseiller de vente,France (siège)
TP000136,CUST00036,2025-03-20,Événement VIC,France (siège)
TP000137,CUST00036,2025-08-29,Ouverture newsletter,France (siège)
TP000138,CUST00036,2025-08-18,Ouverture newsletter,France (siège)
TP000139,CUST00036,2026-01-26,Appel conseiller de vente,France (siège)
TP000140,CUST00036,2026-01-18,Ouverture newsletter,France (siège)
TP000141,CUST00036,2026-01-22,Ouverture newsletter,France (siège)
TP000142,CUST00036,2026-07-06,Rendez-vous boutique,France (siège)
TP000143,CUST00036,2026-07-20,Rendez-vous boutique,France (siège)
TP000144,CUST00036,2026-07-17,Ouverture newsletter,France (siège)
TP000145,CUST00038,2025-12-30,Visite site e-commerce,Moyen-Orient
TP000146,CUST00038,2025-12-15,Ouverture newsletter,Moyen-Orient
TP000147,CUST00038,2025-12-24,Rendez-vous boutique,Moyen-Orient
TP000148,CUST00038,2026-06-06,Visite site e-commerce,Moyen-Orient
TP000149,CUST00038,2026-05-23,Événement VIC,Moyen-Orient
TP000150,CUST00039,2026-06-16,Visite site e-commerce,France (siège)
TP000151,CUST00039,2026-06-17,Appel conseiller de vente,France (siège)
TP000152,CUST00039,2026-05-31,Appel conseiller de vente,France (siège)
TP000153,CUST00040,2025-08-14,Appel conseiller de vente,Moyen-Orient
TP000154,CUST00040,2025-08-24,Ouverture newsletter,Moyen-Orient
TP000155,CUST00040,2026-01-06,Ouverture newsletter,Moyen-Orient
TP000156,CUST00040,2026-01-04,Appel conseiller de vente,Moyen-Orient
TP000157,CUST00040,2026-06-06,Rendez-vous boutique,Moyen-Orient
TP000158,CUST00040,2026-06-13,Appel conseiller de vente,Moyen-Orient
TP000159,CUST00041,2025-05-02,Rendez-vous boutique,France (siège)
TP000160,CUST00041,2025-04-27,Rendez-vous boutique,France (siège)
TP000161,CUST00041,2025-11-03,Appel conseiller de vente,France (siège)
TP000162,CUST00041,2025-11-07,Ouverture newsletter,France (siège)
TP000163,CUST00041,2026-04-23,Événement VIC,France (siège)
TP000164,CUST00041,2026-04-25,Visite site e-commerce,France (siège)
TP000165,CUST00042,2026-05-30,Événement VIC,France (siège)
TP000166,CUST00042,2026-05-12,Ouverture newsletter,France (siège)
TP000167,CUST00044,2025-11-25,Appel conseiller de vente,USA
TP000168,CUST00044,2026-05-26,Rendez-vous boutique,USA
TP000169,CUST00044,2026-05-22,Visite site e-commerce,USA
TP000170,CUST00045,2025-05-31,Ouverture newsletter,Moyen-Orient
TP000171,CUST00045,2025-05-22,Visite site e-commerce,Moyen-Orient
TP000172,CUST00045,2025-12-05,Appel conseiller de vente,Moyen-Orient
TP000173,CUST00045,2025-12-01,Rendez-vous boutique,Moyen-Orient
TP000174,CUST00045,2025-12-11,Appel conseiller de vente,Moyen-Orient
TP000175,CUST00045,2026-05-27,Événement VIC,Moyen-Orient
TP000176,CUST00046,2025-08-01,Événement VIC,France (siège)
TP000177,CUST00046,2025-12-29,Rendez-vous boutique,France (siège)
TP000178,CUST00046,2026-01-10,Visite site e-commerce,France (siège)
TP000179,CUST00046,2026-07-08,Événement VIC,France (siège)
TP000180,CUST00046,2026-07-15,Ouverture newsletter,France (siège)
TP000181,CUST00046,2026-07-01,Appel conseiller de vente,France (siège)
TP000182,CUST00047,2026-04-23,Visite site e-commerce,USA
